sex,race,0,1
Female,Amer-Indian-Eskimo,0.897196261682243,0.102803738317757
Female,Asian-Pac-Islander,0.8605442176870748,0.13945578231292516
Female,Black,0.9392423159399571,0.06075768406004289
Female,Other,0.9540229885057471,0.04597701149425287
Female,White,0.8770107663077897,0.12298923369221026
Male,Amer-Indian-Eskimo,0.8715083798882681,0.12849162011173185
Male,Asian-Pac-Islander,0.6555740432612313,0.34442595673876875
Male,Black,0.8018335684062059,0.19816643159379407
Male,Other,0.8819444444444444,0.11805555555555555
Male,White,0.6746867723694423,0.3253132276305577
